Product Name,Price
Nike Offcourt (Alabama),$28.97
Jordan Jumpman Team II ,$90.97
Nike Phantom GT2 Academy FlyEase,$72.97
Nike Air Max 1 Premium 2,$108.97
Nike Vapor 15 Academy Mercurial Dream Speed,$95
Nike Pegasus 40 (Arizona),$98.97
Nike Air Force 1 '07 Premium,$150
Nike Pegasus 40 (Delaware State),$98.97
Nike Air Zoom Victory Tour 3 NRG,$135.97
Nike React Infinity 3,$127.97
Nike Air Force 1 Mid x Off-White™,$205
Nike Motiva,$110
Nike Air Force 1 '07 LX,$70.97
Nike G.T. Jump,$153.97
Nike Air Penny 2 QS,$200
Nike Pegasus 40 (Tennessee State),$98.97
Air Jordan XXXVII,$111.97
Nike Vomero 16,$89.97
Nike SB Zoom Blazer Mid Premium,$68.97
Nike Pegasus Trail 3,$99.97
Nike Terminator High (Morehouse),$150
Nike Blazer Mid Pro Club,$68.97
Nike Pegasus 40 (West Virginia),$98.97
Jordan Why Not .5?,$110.97
Nike Air Max 90 NRG,$150
Nike Free Run 2,$69.97
Nike Pegasus 40 (UNC),$98.97
Nike Blazer Mid '77 Jumbo,$86.97
Nike Waffle Debut SE,$80
Nike Blazer Mid '77 Suede,$78.97
Nike Pegasus 40 (Tuskegee),$98.97
Nike Air Max 90 G NRG,$105.97
Nike Metcon 9 EasyOn,$150
Cosmic Unity 3 N7,$123.97
Nike Alphafly 2,$285
Nike Offcourt (Michigan State),$28.97
NikeCourt Air Zoom GP Turbo Osaka,$123.97
Nike Air Force 1 Low Billie,$130
Nike Air Pegasus '89,$78.97
Air Jordan 1 Zoom Air CMFT 2,$160
Nike Air Pegasus '89,$100
Nike Zoom Rotational 6,$110
Nike Blazer Low '77 Jumbo,$71.97
